"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-93.6303999,-93.29625,1.28678799641722,1.0771089,-96.15636,-92.2238,1.00088286158754,2718.64178269578,3736.29629636859
"2","a",-119.72502404265,-121.086,71.5995680275619,71.08814958,-235.41665,-0.878000250000038,1.00081553333394,2701.80845553822,3041.05785928317
"3","b",21.900770425,21.9311,1.59535843383058,1.58667852,19.26536,24.47855,1.00091415143011,2694.89562294773,2829.48518422752
"4","sigma",85.0903952125,82.7367,15.8128920997448,14.58403968,63.237005,114.22625,1.00066502409667,3364.26528921719,3545.38064491048
